"","first_half","second_half","method","n"
"gene820",-4.40927362728871,NA,"CARseq LFC","Total sample size in a half = 25"
"gene821",-Inf,-0.814745073208326,"CARseq LFC","Total sample size in a half = 25"
"gene822",-0.588196066558457,3.54853178224051,"CARseq LFC","Total sample size in a half = 25"
"gene823",-0.134901741146264,-0.616464529214009,"CARseq LFC","Total sample size in a half = 25"
"gene824",-1.1315653468861,0.0750673664353059,"CARseq LFC","Total sample size in a half = 25"
"gene825",-0.892455733808775,-0.706617502293464,"CARseq LFC","Total sample size in a half = 25"
"gene826",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene827",Inf,-0.494113459520633,"CARseq LFC","Total sample size in a half = 25"
"gene828",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene829",-1.44953603134849,NA,"CARseq LFC","Total sample size in a half = 25"
"gene830",-Inf,-2.23503465293621,"CARseq LFC","Total sample size in a half = 25"
"gene831",-0.394260158400438,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene832",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene833",NA,-4.86727787162379,"CARseq LFC","Total sample size in a half = 25"
"gene834",0.14648846997162,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene835",-Inf,-0.289674713081255,"CARseq LFC","Total sample size in a half = 25"
"gene836",-0.346703093565495,0.569713510263074,"CARseq LFC","Total sample size in a half = 25"
"gene837",NA,-2.35791677017501,"CARseq LFC","Total sample size in a half = 25"
"gene838",-Inf,-1.465864399272,"CARseq LFC","Total sample size in a half = 25"
"gene839",-2.6893826294376,-1.50986956909331,"CARseq LFC","Total sample size in a half = 25"
"gene840",-0.84265491544021,-0.68909242336492,"CARseq LFC","Total sample size in a half = 25"
"gene841",0.0666349095255951,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene842",0.236210577791596,-0.0680736609223665,"CARseq LFC","Total sample size in a half = 25"
"gene843",-0.835766827624981,-0.823242052610346,"CARseq LFC","Total sample size in a half = 25"
"gene844",-0.316854052873393,-1.22612783224249,"CARseq LFC","Total sample size in a half = 25"
"gene845",1.5269874955608,0.730994524298485,"CARseq LFC","Total sample size in a half = 25"
"gene846",-Inf,-2.97211696435442,"CARseq LFC","Total sample size in a half = 25"
"gene847",-3.47948242364891,1.16752103832467,"CARseq LFC","Total sample size in a half = 25"
"gene848",-1.23337847526998,-1.91399936637106,"CARseq LFC","Total sample size in a half = 25"
"gene849",-Inf,-0.794168741958212,"CARseq LFC","Total sample size in a half = 25"
"gene850",-1.50342298374429,-1.72126343206842,"CARseq LFC","Total sample size in a half = 25"
"gene851",0.184662648934395,-0.536824734545676,"CARseq LFC","Total sample size in a half = 25"
"gene852",-Inf,-0.393438243533291,"CARseq LFC","Total sample size in a half = 25"
"gene853",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene854",NA,1.56426361127268,"CARseq LFC","Total sample size in a half = 25"
"gene855",0.855486209541638,-0.567611996340648,"CARseq LFC","Total sample size in a half = 25"
"gene856",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene857",-2.70885549625718,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene858",0.0474999738130982,-0.817973765704866,"CARseq LFC","Total sample size in a half = 25"
"gene859",-0.465338142268218,NA,"CARseq LFC","Total sample size in a half = 25"
"gene860",-0.820004345558349,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene861",-1.07600561811061,-4.93196657431991,"CARseq LFC","Total sample size in a half = 25"
"gene862",-Inf,-0.421792475659519,"CARseq LFC","Total sample size in a half = 25"
"gene863",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene864",-Inf,0.471088691229964,"CARseq LFC","Total sample size in a half = 25"
"gene865",-1.06008356387381,-0.786213312734062,"CARseq LFC","Total sample size in a half = 25"
"gene866",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene867",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene868",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene869",-6.34283367648015,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene870",-0.669714994898137,-1.41937079976414,"CARseq LFC","Total sample size in a half = 25"
"gene871",-Inf,-0.449542939592566,"CARseq LFC","Total sample size in a half = 25"
"gene872",-0.244921570139532,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene873",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene874",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene875",-2.08515079208681,-1.29918391026731,"CARseq LFC","Total sample size in a half = 25"
"gene876",NA,0.22994940837081,"CARseq LFC","Total sample size in a half = 25"
"gene877",1.25512774494245,-0.456360789351233,"CARseq LFC","Total sample size in a half = 25"
"gene878",-2.77651446977454,-2.46801361838052,"CARseq LFC","Total sample size in a half = 25"
"gene879",-0.231124158367226,-0.271325532578972,"CARseq LFC","Total sample size in a half = 25"
"gene880",-0.529711119433272,NA,"CARseq LFC","Total sample size in a half = 25"
"gene881",-2.03310272073963,NA,"CARseq LFC","Total sample size in a half = 25"
"gene882",0.22190174910676,-0.314686739978573,"CARseq LFC","Total sample size in a half = 25"
"gene883",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene884",-1.96995327133724,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene885",-Inf,-0.196188870270544,"CARseq LFC","Total sample size in a half = 25"
"gene886",-0.866430162258995,-1.2183585910558,"CARseq LFC","Total sample size in a half = 25"
"gene887",-0.621693612740537,-0.469862404216309,"CARseq LFC","Total sample size in a half = 25"
"gene888",-Inf,0.230129096087118,"CARseq LFC","Total sample size in a half = 25"
"gene889",-1.53042793120701,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene890",-27.990823391664,-0.562363695628997,"CARseq LFC","Total sample size in a half = 25"
"gene891",1.64033961027483,-0.0445966748248713,"CARseq LFC","Total sample size in a half = 25"
"gene892",Inf,0.766334154665687,"CARseq LFC","Total sample size in a half = 25"
"gene893",NA,-1.0097606569983,"CARseq LFC","Total sample size in a half = 25"
"gene894",-0.528633423423655,0.086857291957755,"CARseq LFC","Total sample size in a half = 25"
"gene895",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene896",-1.12776748096085,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene897",-1.37754209649607,NA,"CARseq LFC","Total sample size in a half = 25"
"gene898",Inf,0.674484629238006,"CARseq LFC","Total sample size in a half = 25"
"gene899",-Inf,2.79031316787369,"CARseq LFC","Total sample size in a half = 25"
"gene900",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene901",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene902",-1.14014725732865,-1.4837644077586,"CARseq LFC","Total sample size in a half = 25"
"gene903",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene904",3.01866895414233,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene905",0.135802214006301,-2.68661512665307,"CARseq LFC","Total sample size in a half = 25"
"gene906",-1.23460238647001,NA,"CARseq LFC","Total sample size in a half = 25"
"gene907",0.738541774616185,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene908",-1.57179196923068,-1.05659320810193,"CARseq LFC","Total sample size in a half = 25"
"gene909",-0.955289970943048,-1.0053097521152,"CARseq LFC","Total sample size in a half = 25"
"gene910",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene911",Inf,-0.841432127214015,"CARseq LFC","Total sample size in a half = 25"
"gene912",Inf,-1.89235515437075,"CARseq LFC","Total sample size in a half = 25"
"gene913",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene914",-0.521763472017116,0.272528033890039,"CARseq LFC","Total sample size in a half = 25"
"gene915",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene916",0.113318907638673,-1.86866316180388,"CARseq LFC","Total sample size in a half = 25"
"gene917",-0.902507648553031,-0.639680908730453,"CARseq LFC","Total sample size in a half = 25"
"gene918",-0.591941833699971,-2.48976887960199,"CARseq LFC","Total sample size in a half = 25"
"gene919",-0.467612008583301,-0.0469733006533542,"CARseq LFC","Total sample size in a half = 25"
"gene920",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene921",-1.58201050182102,-0.733680379693811,"CARseq LFC","Total sample size in a half = 25"
"gene922",0.190195726680583,-0.683604363342225,"CARseq LFC","Total sample size in a half = 25"
"gene923",0.766831504273121,-0.933291910057979,"CARseq LFC","Total sample size in a half = 25"
"gene924",-0.793568465839584,-0.595773272967734,"CARseq LFC","Total sample size in a half = 25"
"gene925",-Inf,-0.788641869821344,"CARseq LFC","Total sample size in a half = 25"
"gene926",-1.10845669892111,-0.937135396085114,"CARseq LFC","Total sample size in a half = 25"
"gene927",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene928",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene929",-2.09196313067312,-1.51260031837283,"CARseq LFC","Total sample size in a half = 25"
"gene930",1.24779530427674,0.0448418108698827,"CARseq LFC","Total sample size in a half = 25"
"gene931",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene932",-1.18321246431429,-1.47301045645621,"CARseq LFC","Total sample size in a half = 25"
"gene933",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene934",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene935",-Inf,1.47801263892146,"CARseq LFC","Total sample size in a half = 25"
"gene936",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene937",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene938",1.83386749974821,-0.475843449484309,"CARseq LFC","Total sample size in a half = 25"
"gene939",-0.0832728893342119,0.127984712063113,"CARseq LFC","Total sample size in a half = 25"
"gene940",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene941",-Inf,1.26443163835009,"CARseq LFC","Total sample size in a half = 25"
"gene942",-1.3085529158439,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene943",0.322605976734635,-2.05793249530762,"CARseq LFC","Total sample size in a half = 25"
"gene944",0.961813503057257,-0.681417204737791,"CARseq LFC","Total sample size in a half = 25"
"gene945",-Inf,0.621430082838133,"CARseq LFC","Total sample size in a half = 25"
"gene946",-Inf,-0.600213071488712,"CARseq LFC","Total sample size in a half = 25"
"gene947",-Inf,1.2444314517036,"CARseq LFC","Total sample size in a half = 25"
"gene948",-Inf,-0.0325737312737622,"CARseq LFC","Total sample size in a half = 25"
"gene949",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene950",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene951",-2.70831346480177,-2.63047497112239,"CARseq LFC","Total sample size in a half = 25"
"gene952",-13.1826218932485,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene953",-0.32485270277263,-1.85878740225631,"CARseq LFC","Total sample size in a half = 25"
"gene954",-0.957597487716788,-0.994222426992197,"CARseq LFC","Total sample size in a half = 25"
"gene955",-1.02817744890056,-0.0347802916160419,"CARseq LFC","Total sample size in a half = 25"
"gene956",-3.84562073680608,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene957",NA,0.480546204535019,"CARseq LFC","Total sample size in a half = 25"
"gene958",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene959",-0.943404914114301,-1.56788107156195,"CARseq LFC","Total sample size in a half = 25"
"gene960",-1.16429117695582,-0.317813008807414,"CARseq LFC","Total sample size in a half = 25"
"gene961",-1.27582107752094,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene962",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene963",-Inf,-0.548067533931023,"CARseq LFC","Total sample size in a half = 25"
"gene964",-Inf,2.50377744632771,"CARseq LFC","Total sample size in a half = 25"
"gene965",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene966",-Inf,-3.86741872464468,"CARseq LFC","Total sample size in a half = 25"
"gene967",-0.599433765401714,-0.0836184354373628,"CARseq LFC","Total sample size in a half = 25"
"gene968",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene969",-0.463933876560592,-1.00480298319492,"CARseq LFC","Total sample size in a half = 25"
"gene970",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene971",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene972",-1.39106683608398,-0.918630024052462,"CARseq LFC","Total sample size in a half = 25"
"gene973",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene974",-Inf,-0.980707758147676,"CARseq LFC","Total sample size in a half = 25"
"gene975",Inf,-0.692109745733252,"CARseq LFC","Total sample size in a half = 25"
"gene976",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene977",-1.12776123289159,-1.21796353190906,"CARseq LFC","Total sample size in a half = 25"
"gene978",-0.270065194750315,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene979",-Inf,-1.68996554514473,"CARseq LFC","Total sample size in a half = 25"
"gene980",-0.658187416540012,-0.712080808463858,"CARseq LFC","Total sample size in a half = 25"
"gene981",0.735527447432285,NA,"CARseq LFC","Total sample size in a half = 25"
"gene982",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene983",NA,0.282901975972619,"CARseq LFC","Total sample size in a half = 25"
"gene984",-Inf,0.560378907603278,"CARseq LFC","Total sample size in a half = 25"
"gene985",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene986",-0.782702198757885,0.0749338672532374,"CARseq LFC","Total sample size in a half = 25"
"gene987",-0.740117315003226,-1.12723653188197,"CARseq LFC","Total sample size in a half = 25"
"gene988",Inf,-2.40154173589867,"CARseq LFC","Total sample size in a half = 25"
"gene989",-0.523318291657362,-1.43687792875348,"CARseq LFC","Total sample size in a half = 25"
"gene990",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene991",1.95576546091939,0.65285932835615,"CARseq LFC","Total sample size in a half = 25"
"gene992",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene993",Inf,1.99019438068179,"CARseq LFC","Total sample size in a half = 25"
"gene994",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene995",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene996",-0.699734688690349,-1.28484977447778,"CARseq LFC","Total sample size in a half = 25"
"gene997",-1.13358903176036,-1.15269221895459,"CARseq LFC","Total sample size in a half = 25"
"gene998",-Inf,-1.19467367650995,"CARseq LFC","Total sample size in a half = 25"
"gene999",NA,-15.4419015874016,"CARseq LFC","Total sample size in a half = 25"
"gene1000",-1.30679999742016,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1001",Inf,-0.788682216920137,"CARseq LFC","Total sample size in a half = 25"
"gene1002",Inf,0.492909278792961,"CARseq LFC","Total sample size in a half = 25"
"gene1003",1.01443291792167,-0.484868365400853,"CARseq LFC","Total sample size in a half = 25"
"gene1004",-9.00704853112885,0.178550644098917,"CARseq LFC","Total sample size in a half = 25"
"gene1005",-0.258468050994751,0.365067151547402,"CARseq LFC","Total sample size in a half = 25"
"gene1006",-1.34476841487335,0.155321328913758,"CARseq LFC","Total sample size in a half = 25"
"gene1007",1.46188069824647,0.295069520288732,"CARseq LFC","Total sample size in a half = 25"
"gene1008",1.6451074430552,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1009",-0.743326735494643,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1010",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1011",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1012",0.499389003579882,1.37370322990449,"CARseq LFC","Total sample size in a half = 25"
"gene1013",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1014",Inf,1.23400209149619,"CARseq LFC","Total sample size in a half = 25"
"gene1015",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1016",-2.16640078524908,0.920554097088876,"CARseq LFC","Total sample size in a half = 25"
"gene1017",0.838547772977082,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1018",-12.1990172051515,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1019",Inf,0.601092214129165,"CARseq LFC","Total sample size in a half = 25"
"gene1020",0.634387646512924,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1021",0.677628746298928,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1022",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1023",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1024",NA,3.13231993415859,"CARseq LFC","Total sample size in a half = 25"
"gene1025",-Inf,14.5945712549039,"CARseq LFC","Total sample size in a half = 25"
"gene1026",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1027",-Inf,1.12621708276619,"CARseq LFC","Total sample size in a half = 25"
"gene1028",-Inf,0.0675133250302702,"CARseq LFC","Total sample size in a half = 25"
"gene1029",-Inf,-1.36931932440314,"CARseq LFC","Total sample size in a half = 25"
"gene1030",-0.976688191086542,0.976753186801364,"CARseq LFC","Total sample size in a half = 25"
"gene1031",0.868794753844753,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1032",1.07812922731762,0.809787545186984,"CARseq LFC","Total sample size in a half = 25"
"gene1033",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1034",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1035",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1036",-0.143440067252951,0.392734078184224,"CARseq LFC","Total sample size in a half = 25"
"gene1037",0.0212206059655167,1.73179453404839,"CARseq LFC","Total sample size in a half = 25"
"gene1038",-1.00893649487213,0.130402613046404,"CARseq LFC","Total sample size in a half = 25"
"gene1039",-2.18124419822434,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1040",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1041",Inf,-0.742641376370337,"CARseq LFC","Total sample size in a half = 25"
"gene1042",0.817473639660235,-0.365235995851062,"CARseq LFC","Total sample size in a half = 25"
"gene1043",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1044",0.94684480861353,0.444453451695549,"CARseq LFC","Total sample size in a half = 25"
"gene1045",-2.28065261173738,0.237296114454573,"CARseq LFC","Total sample size in a half = 25"
"gene1046",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1047",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1048",0.618829331722722,0.325222261599469,"CARseq LFC","Total sample size in a half = 25"
"gene1049",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1050",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1051",-0.125116222344988,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1052",0.39555139053548,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1053",-1.25015653678683,2.62449540749755,"CARseq LFC","Total sample size in a half = 25"
"gene1054",0.983713028955705,27.9792679881976,"CARseq LFC","Total sample size in a half = 25"
"gene1055",1.20690409450411,0.380826312507875,"CARseq LFC","Total sample size in a half = 25"
"gene1056",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1057",0.60049265409676,1.67644099634867,"CARseq LFC","Total sample size in a half = 25"
"gene1058",-Inf,0.931993042126316,"CARseq LFC","Total sample size in a half = 25"
"gene1059",-Inf,1.05422594643916,"CARseq LFC","Total sample size in a half = 25"
"gene1060",NA,-0.27715866003145,"CARseq LFC","Total sample size in a half = 25"
"gene1061",Inf,1.49050118440056,"CARseq LFC","Total sample size in a half = 25"
"gene1062",4.68621573869266,1.53585100034782,"CARseq LFC","Total sample size in a half = 25"
"gene1063",0.0530115805284967,0.379897151274125,"CARseq LFC","Total sample size in a half = 25"
"gene1064",NA,-8.53963709496562,"CARseq LFC","Total sample size in a half = 25"
"gene1065",-0.482015607248396,-2.80403241386808,"CARseq LFC","Total sample size in a half = 25"
"gene1066",0.882489447485851,0.774681752601611,"CARseq LFC","Total sample size in a half = 25"
"gene1067",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1068",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1069",1.82693203393462,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1070",-0.314776595087742,-2.13989069021027,"CARseq LFC","Total sample size in a half = 25"
"gene1071",1.60691490137331,1.63989736232107,"CARseq LFC","Total sample size in a half = 25"
"gene1072",0.64543315496386,1.26831652277535,"CARseq LFC","Total sample size in a half = 25"
"gene1073",0.258252116247937,-0.00810999717851879,"CARseq LFC","Total sample size in a half = 25"
"gene1074",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1075",1.18537448923351,0.539536639051341,"CARseq LFC","Total sample size in a half = 25"
"gene1076",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1077",-15.971976026568,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1078",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1079",-Inf,-2.65476757592363,"CARseq LFC","Total sample size in a half = 25"
"gene1080",0.406109467028845,0.705153813808053,"CARseq LFC","Total sample size in a half = 25"
"gene1081",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1082",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1083",1.44398857205757,1.35894014897724,"CARseq LFC","Total sample size in a half = 25"
"gene1084",Inf,1.00005044534202,"CARseq LFC","Total sample size in a half = 25"
"gene1085",Inf,0.737751207257054,"CARseq LFC","Total sample size in a half = 25"
"gene1086",1.25530738378867,0.931053225851561,"CARseq LFC","Total sample size in a half = 25"
"gene1087",0.991172557902906,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1088",2.2367572787586,-0.277353202609405,"CARseq LFC","Total sample size in a half = 25"
"gene1089",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1090",Inf,1.05661540397951,"CARseq LFC","Total sample size in a half = 25"
"gene1091",0.780377255084604,0.643844442809165,"CARseq LFC","Total sample size in a half = 25"
"gene1092",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1093",-0.159486171208059,1.51916723107887,"CARseq LFC","Total sample size in a half = 25"
"gene1094",1.09215374682337,-1.33209805121905,"CARseq LFC","Total sample size in a half = 25"
"gene1095",-Inf,1.80810734683964,"CARseq LFC","Total sample size in a half = 25"
"gene1096",Inf,0.067603289109528,"CARseq LFC","Total sample size in a half = 25"
"gene1097",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1098",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1099",-0.302157500317358,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1100",0.612305509128251,0.901676830861813,"CARseq LFC","Total sample size in a half = 25"
"gene1101",-0.676295891644104,-0.739973098581325,"CARseq LFC","Total sample size in a half = 25"
"gene1102",-0.775835148882763,-0.333353818441123,"CARseq LFC","Total sample size in a half = 25"
"gene1103",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1104",1.32393024692818,1.56320912909805,"CARseq LFC","Total sample size in a half = 25"
"gene1105",Inf,-0.841589856257283,"CARseq LFC","Total sample size in a half = 25"
"gene1106",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1107",-0.430179273666918,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1108",Inf,0.0768390358641216,"CARseq LFC","Total sample size in a half = 25"
"gene1109",1.00480235460792,0.429305454684684,"CARseq LFC","Total sample size in a half = 25"
"gene1110",1.15240639567514,1.1364174729542,"CARseq LFC","Total sample size in a half = 25"
"gene1111",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1112",-Inf,-2.94929745091669,"CARseq LFC","Total sample size in a half = 25"
"gene1113",-Inf,-0.146203145487058,"CARseq LFC","Total sample size in a half = 25"
"gene1114",0.480447413972757,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1115",1.01360153542016,0.95849405688262,"CARseq LFC","Total sample size in a half = 25"
"gene1116",-Inf,-0.998839566243584,"CARseq LFC","Total sample size in a half = 25"
"gene1117",3.34243512648147,-0.197657432713985,"CARseq LFC","Total sample size in a half = 25"
"gene1118",-0.320693878706001,1.53801474581995,"CARseq LFC","Total sample size in a half = 25"
"gene1119",0.639609516930634,0.999583189163562,"CARseq LFC","Total sample size in a half = 25"
"gene1120",-0.029648577849761,0.352354637308882,"CARseq LFC","Total sample size in a half = 25"
"gene1121",0.620620739339265,2.41804528761581,"CARseq LFC","Total sample size in a half = 25"
"gene1122",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1123",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1124",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1125",-1.46734869473723,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1126",-Inf,0.96655087984426,"CARseq LFC","Total sample size in a half = 25"
"gene1127",0.899285750188122,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1128",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1129",0.457648437832418,0.961591615296502,"CARseq LFC","Total sample size in a half = 25"
"gene1130",4.40794229714711,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1131",-Inf,1.50421158436246,"CARseq LFC","Total sample size in a half = 25"
"gene1132",1.29321947700586,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1133",0.0216345772759223,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1134",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1135",-Inf,0.877194870205343,"CARseq LFC","Total sample size in a half = 25"
"gene1136",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1137",0.611266947997447,0.885106539397605,"CARseq LFC","Total sample size in a half = 25"
"gene1138",0.99588672605748,0.646640060797918,"CARseq LFC","Total sample size in a half = 25"
"gene1139",0.557614899351089,5.53047533703067,"CARseq LFC","Total sample size in a half = 25"
"gene1140",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1141",0.134534168430574,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1142",-15.3934373145881,1.93492053077654,"CARseq LFC","Total sample size in a half = 25"
"gene1143",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1144",1.4810617564967,1.41202043969263,"CARseq LFC","Total sample size in a half = 25"
"gene1145",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene1146",-0.42674335424419,17.5025252659717,"CARseq LFC","Total sample size in a half = 25"
"gene1147",-Inf,-0.413696114486654,"CARseq LFC","Total sample size in a half = 25"
"gene1148",2.21754776479123,0.132708159190932,"CARseq LFC","Total sample size in a half = 25"
"gene1149",-Inf,1.20911432953227,"CARseq LFC","Total sample size in a half = 25"
"gene1150",0.745571232279186,-0.294321301639553,"CARseq LFC","Total sample size in a half = 25"
"gene1151",0.772266310663229,0.696209573064567,"CARseq LFC","Total sample size in a half = 25"
"gene1152",-Inf,-0.280853016534165,"CARseq LFC","Total sample size in a half = 25"
"gene1153",-3.82545023434184,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1154",0.662532896662222,-0.0585931324036655,"CARseq LFC","Total sample size in a half = 25"
"gene1155",0.216596163790663,0.633669363480896,"CARseq LFC","Total sample size in a half = 25"
"gene1156",0.838696900395203,0.451527408640573,"CARseq LFC","Total sample size in a half = 25"
"gene1157",0.863821492660814,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1158",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene1159",Inf,3.55570953766991,"CARseq LFC","Total sample size in a half = 25"
"gene1160",-Inf,-0.109654952223075,"CARseq LFC","Total sample size in a half = 25"
"gene1161",-13.8118907434834,-Inf,"CARseq LFC","Total sample size in a half = 25"
